date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:18	29848/29848	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2022:13:52%20GMT	https://numpy.org/doc/stable/reference/index.html	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/reference/index.html	(from )
10:40:19	5258/5258	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Apr%202025%2005:10:19%20GMT	https://numpy.org/robots.txt		(from )
10:40:19	106/106	---MCZ	200	added ('OK')	text/css	etag:W/%22678d7920-6a%22	https://numpy.org/doc/stable/_static/styles/theme.css?digest=26a4bc78f4c0ddb94549	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/styles/theme3dd4.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:20	12755/12755	---M-Z	200	added ('OK')	text/css	etag:W/%22678d791f-31d3%22	https://numpy.org/doc/stable/_static/pygments.css?v=a746c00c	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/pygmentsacbc.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:20	405820/405820	---M-Z	200	added ('OK')	text/css	etag:W/%22678d7920-6313c%22	https://numpy.org/doc/stable/_static/styles/pydata-sphinx-theme.css?digest=26a4bc78f4c0ddb94549	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/styles/pydata-sphinx-theme3dd4.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:21	299/299	---M-Z	200	added ('OK')	text/css	etag:W/%22678d7920-12b%22	https://numpy.org/doc/stable/_static/graphviz.css?v=eafc0fe6	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/graphvizb400.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:21	318/318	---M-Z	200	added ('OK')	text/css	etag:W/%22678d7920-13e%22	https://numpy.org/doc/stable/_static/plot_directive.css	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/plot_directive.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:22	2060/2060	---M-Z	200	added ('OK')	text/css	etag:W/%22678d791f-80c%22	https://numpy.org/doc/stable/_static/copybutton.css?v=76b2166b	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/copybutton3129.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:22	49351/49351	---M-Z	200	added ('OK')	text/css	etag:W/%22678d7921-c0c7%22	https://numpy.org/doc/stable/_static/sphinx-design.min.css?v=95c83b7e	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/sphinx-design.min7991.css	(from https://numpy.org/doc/stable/reference/index.html)
10:40:22	1734/1734	---M-Z	200	added ('OK')	text/css	etag:W/%22678d7920-6c6%22	https://numpy.org/doc/stable/_static/numpy.css?v=f033eccb	C:/ssl/python_documentaions/numpy_api/numpy.org/doc/stable/_static/numpyed86.css	(from https://numpy.org/doc/stable/reference/index.html)
